symbol,company,cik,edgar_name,method,confidence,note
ABI,VictoryShares Pioneer Asset-Based Inc ETF,,,manual_web,,"DATA QUALITY FLAG: the 'company' value supplied for this symbol ('VictoryShares Pioneer Asset-Based Inc ETF') is itself the CURRENT-day FMP profile/ticker-reuse name (an ETF or debt instrument), not a plausible historical S&P 500 constituent name -- it appears the input file's historical-name join failed for this symbol and fell back to today's ticker meaning, which the task instructions explicitly say not to use. Left unresolved rather than guessing; the true historical S&P 500 constituent for this symbol/ticker needs to be identified from the S&P 500 change-history source before a CIK can be looked up."
ABS,Albertson's Inc.,0000003333,ALBERTSONS INC /DE/,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: ALBERTSONS INC (CIK 0001284719): sic=, dereg_evidence=False, n_recent_filings=5 | ALBERTSONS INC /DE/ (CIK 0000003333): sic=Retail-Grocery Stores, dereg_evidence=True, n_recent_filings=477 | Albertsons Companies, Inc. (CIK 0001646972): sic=Retail-Grocery Stores, dereg_evidence=False, n_recent_filings=1010"
ACAS,American Capital Ltd,0000817473,"AMERICAN CAPITAL, LTD",edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: AMERICAN CAPITAL HOLDINGS INC (CIK 0001288012): sic=Life Insurance, dereg_evidence=False, n_recent_filings=46 | AMERICAN CAPITAL, LTD (CIK 0000817473): sic=, dereg_evidence=True, n_recent_filings=1000"
ACE,Chubb Corp.,0000020171,CHUBB CORP,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: CHUBB CORP (CIK 0000020171): sic=Fire, Marine & Casualty Insurance, dereg_evidence=True, n_recent_filings=1000 | Chubb Ltd (CIK 0000896159): sic=Fire, Marine & Casualty Insurance, dereg_evidence=True, n_recent_filings=1000"
ACS,American Crystal Sugar Co,0000004828,AMERICAN CRYSTAL SUGAR CO /MN/,edgar_company_search,high,unique exact EDGAR name match
AET,Aetna Inc.,0001013761,AETNA INC /CT/,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: AETNA INC /CT/ (CIK 0001013761): sic=Hospital & Medical Service Plans, dereg_evidence=True, n_recent_filings=171 | AETNA INC /PA/ (CIK 0001122304): sic=Hospital & Medical Service Plans, dereg_evidence=True, n_recent_filings=1001"
AGN,Allergan Inc.,0000850693,ALLERGAN INC,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: ALLERGAN INC (CIK 0000850693): sic=Pharmaceutical Preparations, dereg_evidence=True, n_recent_filings=1000 | Allergan plc (CIK 0001578845): sic=Pharmaceutical Preparations, dereg_evidence=True, n_recent_filings=984"
AKS,AK Steel Holding Corp.,0000918192,AK STEEL CORP,edgar_company_search,high,unique exact EDGAR name match
ANDV,Andeavor,0000050104,ANDEAVOR LLC,edgar_company_search,high,"Confirmed via submissions.json: former names ANDEAVOR (2017-2018), TESORO CORP /NEW/ (2004-2017), TESORO PETROLEUM CORP /NEW/ (1994-2004); filed Form 15-12B deregistration 2018-10-11 matching Marathon Petroleum's acquisition of Andeavor."
ANDW,Andrew Corp.,0000317093,ANDREW CORP,edgar_company_search,high,unique exact EDGAR name match
ANR,American Natural Resource Co,,,manual_web,,"American Natural Resource Co: no EDGAR registrant found under this name or close variants (American Natural Resources Company/Corp) via company_tickers.json, company_tickers_exchange.json, or EDGAR company-name search (browse-edgar, both HTML and atom outputs). This company (acquired by Coastal Corp in the mid-1980s) appears to predate EDGAR's electronic filing coverage; only unrelated modern LP shells named 'American Natural Resources 2008/2010, LP' were found. Unresolved; a CIK for this specific historical registrant may not exist in EDGAR."
APCC,American Power Conversion Corp,0000835910,AMERICAN POWER CONVERSION CORP,edgar_company_search,high,matched among 2 EDGAR search results
ASN,,,,manual_web,,No historical company name provided in the input CSV for this symbol; cannot resolve a CIK by company name without violating the do-not-use-current-ticker-meaning instruction. Needs manual sourcing of the true historical S&P 500 constituent name for this symbol before a CIK can be resolved.
AT,Alltel Corp,0000065873,ALLTEL CORP,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: ALLTEL CORP (CIK 0000065873): sic=Radiotelephone Communications, dereg_evidence=True, n_recent_filings=789 | Alltel Holding Corp (CIK 0001362222): sic=Radiotelephone Communications, dereg_evidence=False, n_recent_filings=5"
AV,Avaya Inc.,0001418100,Avaya Holdings Corp.,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: Avaya Holdings Corp. (CIK 0001418100): sic=Services-Prepackaged Software, dereg_evidence=True, n_recent_filings=415 | AVAYA INC (CIK 0001116521): sic=Telephone & Telegraph Apparatus, dereg_evidence=True, n_recent_filings=817"
AVP,Avon Products Inc,0000008868,AVON PRODUCTS INC,edgar_company_search,high,unique exact EDGAR name match
AW,Allied Waste Industries Inc.,0000848865,"Allied Waste Industries, LLC",edgar_company_search,high,"Allied Waste Industries Inc is the same continuous SEC registrant (former name ALLIED WASTE INDUSTRIES INC confirmed via submissions.json through 2011-05-03), renamed Allied Waste Industries, LLC after Republic Services' 2008 acquisition."
AYE,Allegheny Energy Inc.,0000003673,"ALLEGHENY ENERGY, INC",edgar_company_search,high,unique exact EDGAR name match
BCR,C. R. Bard Inc,0000009892,BARD C R INC /NJ/,edgar_company_search,high,"C.R. Bard Inc; confirmed via submissions.json (SIC 3841 Surgical & Medical Instruments, filed Form 15-12B deregistration 2018-01-08, matching Becton Dickinson's acquisition of Bard closed Dec 2017/Jan 2018)."
BDK,Black & Decker Manufacturing,0000093556,"STANLEY BLACK & DECKER, INC.",edgar_company_search,high,"Black & Decker Corp is the same continuous SEC registrant, renamed Stanley Black & Decker Inc after the 2010 merger with The Stanley Works."
BJS,BJ Services Co.,0001703085,"BJ Services, Inc.",edgar_company_search,high,unique exact EDGAR name match
BLS,BellSouth Corp.,0000732713,BELLSOUTH CORP,edgar_company_search,high,unique exact EDGAR name match
BMC,BMC Software Inc,0000835729,BMC SOFTWARE INC,edgar_company_search,high,unique exact EDGAR name match
BMET,Biomet Inc.,0000351346,BIOMET INC,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: Biomet Holdings Ltd. (CIK 0001429653): sic=, dereg_evidence=False, n_recent_filings=15 | BIOMET INC (CIK 0000351346): sic=Orthopedic, Prosthetic & Surgical Appliances & Supplies, dereg_evidence=True, n_recent_filings=1000"
BMS,Bemis Company Inc,0001491863,BEMIS Corp,edgar_company_search,high,unique exact EDGAR name match
BOL,Bausch & Lomb Inc.,0000010427,BAUSCH & LOMB INC,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: Bausch & Lomb Corp (CIK 0001860742): sic=Ophthalmic Goods, dereg_evidence=False, n_recent_filings=360 | Bausch & Lomb Holdings Inc (CIK 0001416436): sic=Ophthalmic Goods, dereg_evidence=False, n_recent_filings=4 | BAUSCH & LOMB INC (CIK 0000010427): sic=Ophthalmic Goods, dereg_evidence=True, n_recent_filings=1009"
BRL,Barr Pharmaceuticals Inc.,0000010081,BARR PHARMACEUTICALS INC,edgar_company_search,high,unique exact EDGAR name match
BSC,Bear Stearns Co,0000777001,BEAR STEARNS COMPANIES INC,edgar_company_search,high,matched among 36 EDGAR search results
BXLT,Baxalta,0001620546,Baxalta Inc,edgar_company_search,high,matched among 2 EDGAR search results
CA,Xtrackers California Municipal Bond ETF,,,manual_web,,"DATA QUALITY FLAG: the 'company' value supplied for this symbol ('Xtrackers California Municipal Bond ETF') is itself the CURRENT-day FMP profile/ticker-reuse name (an ETF or debt instrument), not a plausible historical S&P 500 constituent name -- it appears the input file's historical-name join failed for this symbol and fell back to today's ticker meaning, which the task instructions explicitly say not to use. Left unresolved rather than guessing; the true historical S&P 500 constituent for this symbol/ticker needs to be identified from the S&P 500 change-history source before a CIK can be looked up."
CA,Xtrackers California Municipal Bond ETF,,,manual_web,,"DATA QUALITY FLAG: the 'company' value supplied for this symbol ('Xtrackers California Municipal Bond ETF') is itself the CURRENT-day FMP profile/ticker-reuse name (an ETF or debt instrument), not a plausible historical S&P 500 constituent name -- it appears the input file's historical-name join failed for this symbol and fell back to today's ticker meaning, which the task instructions explicitly say not to use. Left unresolved rather than guessing; the true historical S&P 500 constituent for this symbol/ticker needs to be identified from the S&P 500 change-history source before a CIK can be looked up."
