citation_key,title,journal_volume_pages,doi_or_url,year,claim_in_review,claim_supported,evidence_quote,source_url_checked,notes
Lehmann1990,"Fads, Martingales, and Market Efficiency",QJE 105(1):1-28,https://doi.org/10.2307/2937816,1990,"Weekly winners/losers reverse; profits sensitive to costs.",yes,"systematic tendencies for current 'winners' and 'losers' in one week to experience sizeable return reversals over the subsequent week",https://www.nber.org/papers/w2533,"NBER working-paper version (w2533) abstract fetched successfully; also states profits 'persist ... for plausible levels of transactions costs', supporting the cost-sensitivity part of the claim."
Jegadeesh1990,"Evidence of Predictable Behavior of Security Returns",JF 45(3):881-898,https://doi.org/10.1111/j.1540-6261.1990.tb05110.x,1990,"Strong one-month reversal in US stocks.",yes,"The negative first-order serial correlation in monthly stock returns is highly significant",https://ideas.repec.org/a/bla/jfinan/v45y1990i3p881-98.html,"Publisher (Wiley) page returned 403; RePEc mirror abstract page fetched successfully and confirms the claim."
CampbellGrossmanWang1993,"Trading Volume and Serial Correlation in Stock Returns",QJE 108(4):905-939,https://ideas.repec.org/a/oup/qjecon/v108y1993i4p905-939..html,1993,"Reversal after high-volume days is consistent with non-informational (liquidity) trading; volume conditions the reversal.",yes,"the first-order daily return autocorrelation tends to decline with volume ... risk-averse 'market makers' accommodate buying or selling pressure from 'liquidity' or 'noninformational' traders",https://ideas.repec.org/a/oup/qjecon/v108y1993i4p905-939..html,"RePEc abstract page fetched and confirms both the volume-conditioning and liquidity-trading mechanism."
DaLiuSchaumburg2014,"A Closer Look at the Short-Term Return Reversal",Management Science 60(3):658-674,https://doi.org/10.1287/mnsc.2013.1766,2014,"Across-industry (fundamental) vs within-industry residual reversal; the residual part is the robust liquidity-driven component.",partly,"the reversal profit is attributable to liquidity shocks on the long side because fire sales more likely demand liquidity, and it is attributable to investor sentiment on the short side because short-sale constraints prevent the immediate elimination of overvaluation",https://academicweb.nd.edu/~zda/Reversal.pdf,"Correction needed: the paper's real decomposition is 'fundamental' (cash-flow-news-driven) vs 'residual' (non-fundamental) return, not 'across-industry vs within-industry' -- industry-demeaning is a separate, orthogonal control applied to both the raw and residual reversal strategies. Also the residual reversal is NOT purely liquidity-driven: it is liquidity-driven on the loser (long) side but investor-sentiment-driven on the winner (short) side. Review sentence should be rewritten to reflect this dual mechanism."
Chan2003,"Stock price reaction to news and no-news: drift and reversal after headlines",JFE 70(2):223-260,https://ideas.repec.org/a/eee/jfinec/v70y2003i2p223-260.html,2003,"Reversal after large no-news moves; drift after news moves.",could_not_check,"",https://ideas.repec.org/a/eee/jfinec/v70y2003i2p223-260.html,"RePEc/EconPapers page fetched successfully but carries no abstract text ('No abstract is available for this item'). Further attempts on ScienceDirect, ResearchGate (two separate pages) and SSRN all returned HTTP 403; Yale mirror (econ.yale.edu) returned a connection error. Exceeds the two-failed-fetch threshold, so marked could_not_check per instructions. WebSearch snippets (not treated as evidence) are directionally consistent with the review's claim but were not independently confirmed against a fetched primary-source page."
Tetlock2011,"All the News That's Fit to Reprint: Do Investors React to Stale Information?",RFS 24(5):1481-1512,https://academic.oup.com/rfs/article-abstract/24/5/1481/1613314,2011,"Stale-news moves reverse; genuinely new information continues.",yes,"I find that firms' stock returns respond less to stale news. Even so, a firm's return on the day of stale news negatively predicts its return in the following week.",https://business.columbia.edu/sites/default/files-efs/pubfiles/3099/Tetlock%20Fit%20to%20Reprint%2010%2010.pdf,"Fetched the author's October 2010 working-paper PDF (pre-publication version of the 2011 RFS paper). Confirms stale news reverses; the 'new information continues' half of the claim is a reasonable paraphrase of the paper's finding that low-staleness (fresh) news shows much smaller subsequent reversal, though the paper does not frame this as literal price 'continuation'/momentum."
CorwinSchultz2012,"A Simple Way to Estimate Bid-Ask Spreads from Daily High and Low Prices",JF 67(2):719-760,https://doi.org/10.1111/j.1540-6261.2012.01729.x,2012,"Range-based spread estimator for continuous-session fills.",yes,"We develop a new way to estimate bid-ask spreads from daily high and low prices.",https://users.nber.org/~confer/2009/mms09/Corwin_Schultz.pdf,"Fetched NBER conference working-paper PDF; confirms the high-low range-based estimator built from continuous-session daily prices."
AbdiRanaldo2017,"A Simple Estimation of Bid-Ask Spreads from Daily Close, High, and Low Prices",RFS 30(12):4437-4480,https://doi.org/10.1093/rfs/hhx084,2017,"Spread estimator from the close and the daily mid-range on consecutive days.",yes,"the mean of two consecutive daily mid-ranges represents a natural proxy for the midpoint or efficient price at the time of the market close",https://academic.oup.com/rfs/article-pdf/30/12/4437/28665740/hhx084.pdf,"Fetched via the OUP-issued redirect to the publisher's Silverchair-hosted PDF; directly confirms the close/mid-range consecutive-day estimator described in the review."
ArdiaGuidottiKroencke2024,"Efficient Estimation of Bid-Ask Spreads from Open, High, Low, and Close Prices",JFE 161:103916,https://doi.org/10.1016/j.jfineco.2024.103916,2024,"Accuracy of range estimators in liquid names; sign of level bias.",partly,"Popular bid-ask spread estimators are downward biased when trading is infrequent.",https://eguidotti.com/publication/efficient-estimation-of-bid-ask-spreads-from-open-high-low-and-close-prices/,"Confirms the sign of the bias (downward). However, the paper's stated focus is bias under infrequent trading (i.e., illiquid names), not accuracy specifically 'in liquid names' as the review states. Direct attempts to fetch the SSRN working paper and the ScienceDirect published version both returned HTTP 403, so the liquid-name-specific accuracy language could not be independently confirmed. Correction: rephrase to 'estimators are downward biased for infrequently traded (illiquid) names' rather than describing accuracy in liquid names."
AlmgrenThumHauptmannLi2005,"Direct Estimation of Equity Market Impact",Risk 18:57-62,https://www.cis.upenn.edu/~mkearns/finread/costestim.pdf,2005,"Temporary impact estimated as a 3/5-power law in participation with coefficient ~=0.142 (the paper rejects the pure square-root form).",yes,"We reject the common square-root model for temporary impact as function of trade rate, in favor of a 3/5 power law across the range of order sizes considered.",https://www.cis.upenn.edu/~mkearns/finread/costestim.pdf,"Fully confirmed, including exact coefficients: beta = 0.600 +/- 0.038 (3/5 power law) and eta = 0.142 +/- 0.0062 (t = 23). Note: the review document itself flagged this citation as 'PDF paywalled to the verification worker,' but the author working-paper PDF was in fact directly fetchable and not paywalled; the claim is fully supported."
