profile,capital_$M,gross_SR,net_SR,net_ann,impact_bp,total_bp
market_maker,1.0,0.59,0.22,0.0022,0.04,0.15
market_maker,5.0,0.59,0.07,0.0007,0.09,0.21
market_maker,20.0,0.59,-0.24,-0.0024,0.22,0.33
market_maker,50.0,0.59,-0.63,-0.0064,0.38,0.49
market_maker,100.0,0.59,-1.12,-0.0112,0.57,0.68
prime_brokered_fund,1.0,0.59,0.16,0.0015,0.04,0.17
prime_brokered_fund,5.0,0.59,0.01,0.0,0.09,0.23
prime_brokered_fund,20.0,0.59,-0.3,-0.003,0.22,0.35
prime_brokered_fund,50.0,0.59,-0.7,-0.007,0.38,0.51
prime_brokered_fund,100.0,0.59,-1.18,-0.0119,0.57,0.71
