date,gross_ret,commission,fees,spread,impact,borrow,turnover,gross_exposure,net_exposure,net_ret
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-09,0.0,9.62291836763736e-07,2.085668153243526e-06,0.0,0.0,9.425800338937318e-07,0.13917672284707347,0.13917672284707347,-0.019176722847073464,-3.990540023900993e-06
2023-01-10,0.0024752952941515336,9.62291836763736e-07,1.7029953343611633e-06,0.0,0.0,0.0,0.14041982929252508,0.0,0.0,0.002472630006980409
2023-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-18,0.0,1.975280443345655e-06,1.8673353250002967e-06,0.0,0.0,7.142857142857143e-07,0.1507214016461043,0.1507214016461043,0.030721401646104325,-4.556901482631666e-06
2023-01-19,0.0003180192334914776,1.975280443345655e-06,2.334113600429006e-06,0.0,0.0,0.0,0.1498359824841803,0.0,0.0,0.000313709839447703
2023-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.0,1.1788411015958906e-06,3.3064070745121617e-06,0.0,3.7503693709423603e-06,1.5476190476190474e-06,0.20999999999999996,0.20999999999999996,-0.04999999999999999,-9.78323659466946e-06
2023-02-02,0.0002170857215841947,5.453861585440632e-06,8.33979086300739e-06,0.0,2.377909301557987e-05,2.5e-06,0.6827179449317666,0.47000000000000003,0.05000000000000002,0.0001770129761201668
2023-02-03,-0.0024972017671726263,5.459979112530266e-06,9.540830687724204e-06,0.0,1.977624871131639e-05,1.3095238095238092e-06,0.636729286434877,0.16999999999999998,-0.04999999999999998,-0.002533288349493721
2023-02-06,-0.0002397559579239469,1.184958628685525e-06,1.7736704686920724e-06,0.0,1.2709104951125442e-06,0.0,0.16883536481758155,0.0,0.0,-0.00024398549751643704
2023-02-07,0.0,2.6081523389857752e-06,3.496118054705922e-06,0.0,1.2528652605730753e-05,1.5476190476190479e-06,0.21000000000000002,0.21000000000000002,-0.05,-2.01805420470415e-05
2023-02-08,-0.0007321368627716149,4.168556859385707e-06,3.835824404480095e-06,0.0,2.042768533650953e-05,1.2877318947915907e-06,0.28029094710998337,0.1681694791624936,-0.04816947916249362,-0.0007618566612667818
2023-02-09,-0.00030762323326623394,1.8548164948058834e-06,1.847096846050934e-06,0.0,8.02803229820532e-06,0.0,0.16772745379354215,0.0,0.0,-0.0003193531789052961
2023-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-16,0.0,3.032442224666487e-06,2.682619134693101e-06,0.0,9.160166449302318e-06,1.1834149418229663e-06,0.17940685511312915,0.17940685511312915,-0.019406855113129173,-1.6058642750484873e-05
2023-02-17,-0.00035080475664810086,8.022210276705716e-06,5.033531315527707e-06,0.0,1.4181716222032766e-05,1.3095238095238096e-06,0.31273819757028753,0.16999999999999998,-0.049999999999999996,-0.0003793517382718909
2023-02-21,-0.0003048049746052221,5.109069433334559e-06,2.082769046275122e-06,0.0,5.189842669150962e-06,0.0,0.1661781930168092,0.0,0.0,-0.00031718665575398275
2023-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-27,0.0,4.644521149542872e-06,2.1964632137347904e-06,0.0,1.0226685596977583e-05,7.142857142857143e-07,0.15664297091272633,0.15664297091272633,0.03664297091272633,-1.778195567454096e-05
2023-02-28,-3.474394816789238e-07,4.982843048795349e-06,3.3092433222321656e-06,0.0,1.34025027984906e-05,7.142857142857143e-07,0.25266384325590246,0.16999999999999998,0.05,-2.2756314365482752e-05
2023-03-01,-0.000974886152237129,3.390919231337067e-06,2.8941460854243052e-06,0.0,5.651083825558275e-06,7.142857142857143e-07,0.18480811138795702,0.17,0.05000000000000001,-0.0009875365870937343
2023-03-02,-0.0011352254669401913,3.3070121169661022e-06,2.793468367206237e-06,0.0,2.531006792329125e-06,0.0,0.17244541969435012,0.0,0.0,-0.0011438569542166928
2023-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
