date,gross_ret,commission,fees,spread,impact,borrow,turnover,gross_exposure,net_exposure,net_ret
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,0.0,1.1570506169538213e-06,2.7014916867778198e-06,0.0,0.0,1.2206528803851901e-06,0.15506968390471193,0.15506968390471193,-0.05,-5.079195184116831e-06
2023-01-09,-0.000883328437760522,1.1570506169538215e-06,1.5817298930569835e-06,0.0,0.0,0.0,0.155805414921741,0.0,0.0,-0.0008860672182705329
2023-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-11,0.0,7.63165539781041e-07,2.453962311957246e-06,0.0,0.0,1.1676450041727977e-06,0.14616436070103003,0.14616436070103003,-0.05,-4.384772855911085e-06
2023-01-12,-0.000647713879413053,6.697861043204978e-07,2.260108640893108e-06,0.0,0.0,1.9634599690554708e-06,0.17152485534967407,0.27986127480131906,-0.04999999999999996,-0.0006526072341273221
2023-01-13,-6.01512206302484e-05,1.3410889782489836e-06,3.348432332311151e-06,0.0,0.0,0.0,0.2816680006037906,0.0,0.0,-6.484074194080854e-05
2023-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-30,0.0,1.5399050676200848e-06,2.4178642380491553e-06,0.0,0.0,1.1133546006963738e-06,0.1370435729169907,0.1370435729169907,-0.05000000000000006,-5.071123906365614e-06
2023-01-31,-0.0013824299094825406,1.5399050676200848e-06,1.4993501304741772e-06,0.0,0.0,0.0,0.1386232128472424,0.0,0.0,-0.0013854691646806349
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-02,0.0,2.6045524245402484e-06,2.3483106087077824e-06,0.0,2.781950521067206e-06,1.0980125298005162e-06,0.1344661050064867,0.1344661050064867,-0.05,-8.832826084115753e-06
2023-02-03,0.0010554087264331613,1.4844704538815934e-07,9.058812612143142e-08,0.0,4.0970536433292075e-08,1.1227116542843437e-06,0.005644789269958286,0.1386155579197697,-0.05,0.001054006009070934
2023-02-06,0.0008335052690800411,2.7529994699284076e-06,1.8446491314932812e-06,0.0,3.061476852999404e-06,0.0,0.1384199918765519,0.0,0.0,0.0008258461436256201
2023-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-09,0.0,5.488183944137964e-07,1.2558537897563988e-06,0.0,5.621760788067678e-06,5.5416928715831e-07,0.09730676098359575,0.09730676098359575,0.004206320740999665,-7.980602259396183e-06
2023-02-10,0.0005121419826927642,5.488183944137963e-07,1.3867767819076555e-06,0.0,5.484465405477375e-06,0.0,0.09676928751283495,0.0,0.0,0.0005047219221109654
2023-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-10,0.0,1.014557372444852e-06,1.6645296372024463e-06,0.0,8.028899342058471e-06,6.5391864338152e-07,0.15985833208809536,0.15985833208809536,0.05,-1.1361904995087291e-05
2023-03-13,-0.0011615236406402056,1.239031708486454e-06,1.4548496825204575e-06,0.0,1.0331718299607905e-05,7.18449539542085e-07,0.10539702774416895,0.17069952264307026,0.049999999999999996,-0.0011752676898703625
2023-03-14,-0.0014182548624086305,1.4352074160539268e-06,2.9238402243595647e-06,0.0,1.0622905960971101e-05,0.0,0.1704205463377974,0.0,0.0,-0.001433236816010015
2023-03-15,0.0,3.5687589474740397e-06,4.211632811231151e-06,0.0,1.0755197577594145e-05,1.6531918496359433e-06,0.3277362307388385,0.3277362307388385,0.05000000000000002,-2.018878118593528e-05
2023-03-16,0.0022408619867564554,2.742192137318732e-06,2.8871827923209314e-06,0.0,1.1154114222167486e-05,2.5817950596642546e-06,0.20486510605871738,0.4837415700235948,0.05000000000000002,0.002221496702544984
2023-03-17,0.0004978122390205238,6.160506613641615e-06,8.610714175310946e-06,0.0,2.0461722513974457e-05,1.2640316099676493e-06,0.5233830975307292,0.16235731047456506,-0.04999999999999999,0.0004613152641076291
2023-03-20,-0.0006013393349881032,5.103668156406295e-07,1.637983588960843e-06,0.0,2.817573511604597e-06,0.0,0.16442943821402922,0.0,0.0,-0.0006063052589043092
2023-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
