date,gross_ret,commission,fees,spread,impact,borrow,turnover,gross_exposure,net_exposure,net_ret
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.0,2.5145629386989547e-06,2.476440321110272e-06,0.0,8.817353263843466e-07,1.0622671589524577e-06,0.22846088270401282,0.22846088270401282,0.04999999999999992,-6.935005745146031e-06
2023-02-02,-0.0011466623828461726,2.193695652233851e-06,2.9758877394543348e-06,0.0,5.927505952197559e-07,1.9548624039456697e-06,0.12700147448126164,0.2779829745871441,-0.050433909275728314,-0.0011543795792370263
2023-02-03,0.000950778043550702,1.2819259934408348e-06,1.379315044084113e-06,0.0,3.2333544981355184e-07,1.5558015182896255e-06,0.09719453950401799,0.2108102331223204,-0.05056442195033673,0.0009462376655450739
2023-02-06,0.0009693252252110901,1.4349126167809979e-06,1.5809973714850982e-06,0.0,4.3104779821742144e-07,1.0936185203890882e-06,0.10903596628692198,0.133955696541069,-0.0497722148842979,0.0009647846489042175
2023-02-07,-0.0007046531695017749,1.6134052757918683e-06,1.5406892341266071e-06,0.0,5.106156165282174e-07,9.764452889350016e-07,0.10883535149695378,0.1142489214611816,-0.04979388707989871,-0.0007092943249171566
2023-02-08,0.000881793521250373,1.160192350943578e-06,6.049445559247452e-07,0.0,2.5446377938048007e-07,5.63566687795644e-07,0.09400704165491275,0.10834244406752593,0.013663240517857741,0.0008792103538763286
2023-02-09,-0.00023576117181992577,1.437117339227756e-06,8.307153875055852e-07,0.0,3.0430399610502656e-07,5.330358175243653e-07,0.06449644742423742,0.11628428040202356,0.026734263057930197,-0.0002388663443602885
2023-02-10,0.00029563800364028965,1.1230441356476473e-06,1.0650803393274614e-06,0.0,3.2601239678696947e-07,7.196525120147088e-07,0.08037366394578446,0.15235382619179588,0.03145220417332485,0.0002924042142565129
2023-02-13,0.0004818295995667155,1.8594745464696666e-06,3.362788573621312e-06,0.0,6.170897136043767e-07,1.1017430817132274e-06,0.18287092150173462,0.13512675023915738,-0.04996608748866484,0.0004748885036513069
2023-02-14,0.0005193831513836456,2.5691058502186174e-06,3.0747723452317454e-06,0.0,1.0017854248845404e-06,1.763465061990394e-06,0.26251487236285365,0.2861435057066737,-0.01011862470771252,0.0005109740227013203
2023-02-15,0.00013003086228033755,1.6264960252816394e-06,2.125720301454553e-06,0.0,5.210556972798306e-07,1.8182301519978495e-06,0.11560557078736457,0.25571262051185406,-0.04975004502378471,0.0001239393601043237
2023-02-16,0.00109793445527065,2.2505249532723385e-06,2.0679575466762024e-06,0.0,7.395883430623068e-07,2.16429376958268e-06,0.15046415166854266,0.3136425913761879,-0.049958761913702174,0.0010907120906580566
2023-02-17,0.0005134126543041378,2.6069843034161046e-06,3.191847248899583e-06,0.0,8.188516521400074e-07,1.3705509626950105e-06,0.22360297378992505,0.18066098069950598,-0.049591581033255915,0.000505424420136987
2023-02-21,0.0012955520052171342,1.5336752582611482e-06,7.137194986120411e-07,0.0,3.480151288729253e-07,5.036179966420706e-07,0.13094587818192868,0.13495865174105331,0.050350828305185474,0.001292452977334746
2023-02-22,-0.0002495648930551682,3.314993257446317e-06,4.58397109128766e-06,0.0,1.4048229839749319e-06,1.996382206883497e-06,0.321163074902294,0.3855643603474813,0.05017214959105394,-0.0002608650625947606
2023-02-23,0.00102708153365828,2.367655453061656e-06,2.625443189418553e-06,0.0,7.034278536483194e-07,1.1947730986684176e-06,0.1945233007749374,0.25062595883593036,0.04990407825963628,0.001020190234063483
2023-02-24,-0.0007016417639390226,2.2841587344827348e-06,2.2629059014232464e-06,0.0,8.766937461656511e-07,1.3369553299781618e-06,0.12243949303314654,0.2336956179434751,0.009087122507143885,-0.0007084024776510725
2023-02-27,0.0004269102850901858,2.095920965735079e-06,3.068614658744397e-06,0.0,5.873207448110158e-07,9.517831137085671e-07,0.1796335491813606,0.1098063479612581,-0.05009321514178121,0.00042020664560718675
2023-02-28,-7.761135088426985e-06,2.0820088791571088e-06,1.2446934713549598e-06,0.0,5.666471474997081e-07,8.852586642600875e-07,0.1642328209587155,0.19316185245774753,0.04443839686205289,-1.2539743250698849e-05
2023-03-01,-0.0002100473603459079,1.7182815173206923e-06,2.0825743173107972e-06,0.0,5.700899457486185e-07,7.880325644508131e-07,0.1279492593734367,0.14883991232919336,0.016450441501456713,-0.0002152063386907388
2023-03-02,0.00038327976548517263,1.5407869965381041e-06,9.902072864410965e-07,0.0,3.6308935635294513e-07,8.137119584787761e-07,0.09371427926142095,0.18712523410014303,0.05042162507570874,0.0003795719698873617
2023-03-03,0.0008373114308893547,1.925851320484708e-06,1.6617166520516954e-06,0.0,4.4784676052768017e-07,7.459688460196373e-07,0.09668326033442487,0.15181645124707577,0.026493685115776693,0.000832530047310271
2023-03-06,4.3894202523455095e-05,1.7271331692612022e-06,1.8139995910055326e-06,0.0,4.912266463627483e-07,5.365758441613111e-07,0.11790482059855278,0.09888190490489224,0.008737163085791935,3.93252672726643e-05
2023-03-07,-0.0001782350853102036,2.1907738376151125e-06,1.419688239290154e-06,0.0,8.339058054942609e-07,7.276318727336347e-07,0.1377515139610546,0.17247857818943346,0.050236423570182806,-0.00018340708506533676
